code,name,close,ma25,resist,date,deviation,ret20,amount,mcap,status,volClass,atr,_mcapRaw
600111,北方稀土,40.91,40.89,45.1,2026-08-27,0.0005,0.045,22.8,1479.0,A,mid,1.307,147892000000.0
688235,百济神州,279.75,279.9,314.85,2026-08-27,-0.0005,0.078,11.1,4315.0,A,high,12.771,431454000000.0
688126,沪硅产业,25.22,25.24,29.09,2026-08-27,-0.0007,0.1135,15.7,834.0,A,high,1.379,83353000000.0
605376,博迁新材,153.64,153.8,191.16,2026-08-27,-0.001,0.1541,14.7,402.0,A,high,11.554,40192000000.0
300059,东方财富,19.62,19.6,20.52,2026-08-27,0.0011,-0.0185,63.0,3104.0,A,low,0.376,310432000000.0
688257,新锐股份,57.1,57.17,66.86,2026-08-27,-0.0011,0.1948,10.4,203.0,A,high,4.119,20286000000.0
603127,昭衍新药,48.14,48.08,55.45,2026-08-27,0.0012,0.202,12.8,361.0,A,high,3.384,36074000000.0
002594,比亚迪,91.49,91.34,96.59,2026-08-27,0.0016,-0.0454,16.2,8341.0,A,low,1.609,834132000000.0
002273,水晶光电,26.81,26.77,29.5,2026-08-27,0.0016,0.0859,9.6,373.0,A,high,1.453,37283000000.0
300975,商络电子,25.91,25.86,29.33,2026-08-27,0.002,0.146,9.2,178.0,A,high,1.589,17800000000.0
000100,TCL科技,4.97,4.96,5.34,2026-08-27,0.0023,0.053,18.6,1034.0,A,mid,0.151,103380000000.0
002600,领益智造,12.5,12.47,13.09,2026-08-27,0.0028,0.0238,11.4,1015.0,A,mid,0.384,101504000000.0
