code,name,close,ma25,resist,date,deviation,ret20,amount,mcap,status,volClass,atr,_mcapRaw
300803,指南针,84.6,83.94,90.57,2026-09-08,0.0078,0.0055,12.4,522.0,C,mid,3.67,52155999999.99999
688400,凌云光,47.2,47.21,51.35,2026-09-08,-0.0003,-0.0169,9.3,225.0,A,high,2.615,22455000000.0
600941,中国移动,97.7,97.63,101.0,2026-09-08,0.0007,0.0133,8.6,21192.0,A,low,1.392,2119205000000.0
688110,东芯股份,116.12,116.02,128.5,2026-09-08,0.0009,0.0348,18.6,514.0,A,high,5.889,51369000000.00001
688809,强一股份,459.02,459.43,516.89,2026-09-08,-0.0009,-0.0023,11.0,595.0,A,high,32.305,59470000000.00001
600699,均胜电子,20.09,20.07,21.59,2026-09-08,0.001,-0.0577,9.8,312.0,A,mid,0.635,31155000000.0
600519,贵州茅台,1309.3,1311.0,1359.6,2026-09-08,-0.0013,-0.0276,23.0,16367.0,A,low,20.349,1636732000000.0
600711,盛屯矿业,11.86,11.84,12.6,2026-09-08,0.0014,-0.0435,12.8,367.0,A,mid,0.551,36655000000.0
603950,长源东谷,61.95,61.85,69.2,2026-09-08,0.0016,0.0817,8.0,201.0,A,high,5.261,20080000000.0
300502,新易盛,416.4,415.6,472.0,2026-09-08,0.0019,0.0026,155.8,5806.0,A,high,23.899,580568000000.0
002580,圣阳股份,21.12,21.07,24.08,2026-09-08,0.0022,0.0072,18.0,96.0,A,high,1.488,9586000000.0
000066,中国长城,14.59,14.56,15.57,2026-09-08,0.0022,0.0014,12.8,471.0,A,mid,0.396,47064000000.0
002472,双环传动,37.06,37.18,39.94,2026-09-08,-0.0032,-0.0522,7.7,315.0,A,mid,1.08,31501000000.0
