code,name,status,open,high,low,close,hit_buy,touch_sl,reach_tg,ret,exit_price,note,open2,high2,low2,close2
002192,融捷股份,未触发,74.73,75.84,72.42,74.43,未触发(高开1%),-,-,-,,,,,,
600531,豫光金铅,OK,13.95,14.31,13.7,14.17,开盘买入@13.95,是,否,-2.87%,13.55,2026-08-31止损卖@13.55,13.55,13.66,13.18,13.65
601020,华钰矿业,OK,22.54,24.66,22.0,23.8,开盘买入@22.54,是,是,+2.93%,23.2,2026-08-31收盘卖@23.20,22.85,23.31,22.23,23.2
301662,宏工科技,OK,73.4,84.0,72.68,79.07,开盘买入@73.40,否,是,+2.66%,75.35,2026-08-31收盘卖@75.35,78.56,78.6,73.15,75.35
000796,凯撒旅业,OK,4.25,4.34,4.19,4.32,开盘买入@4.25,否,否,+0.94%,4.29,2026-08-31收盘卖@4.29,4.3,4.42,4.26,4.29
