code,name,close,ma25,resist,date,deviation,ret20,amount,mcap,status,volClass,atr,_mcapRaw
600378,昊华科技,47.57,47.58,54.65,2026-09-07,-0.0002,-0.0258,29.8,614.0,C,high,3.726,61365000000.0
600410,华胜天成,14.7,14.7,16.37,2026-09-07,0.0002,-0.0631,8.9,161.0,C,high,0.671,16118000000.0
601919,中远海控,16.0,16.23,17.52,2026-09-07,-0.0142,0.023,13.7,2443.0,C,mid,0.434,244290000000.0
300308,中际旭创,898.46,898.55,1014.87,2026-09-07,-0.0001,0.0392,376.3,10583.0,A,high,50.652,1058304999999.9999
600030,中信证券,27.67,27.67,28.33,2026-09-07,0.0001,-0.01,26.9,4323.0,A,low,0.452,432324000000.0
001267,汇绿生态,38.71,38.72,43.4,2026-09-07,-0.0003,-0.0991,15.4,304.0,A,high,2.696,30387000000.0
300502,新易盛,417.2,416.87,472.0,2026-09-07,0.0008,0.044,209.2,5817.0,A,high,25.879,581684000000.0
688037,芯源微,339.94,339.55,379.0,2026-09-07,0.0012,0.0551,12.5,686.0,A,high,23.781,68589000000.0
600938,中国海油,33.12,33.08,35.43,2026-09-07,0.0013,0.035,14.7,15742.0,A,mid,0.897,1574192000000.0
601088,中国神华,46.09,46.0,49.48,2026-09-07,0.002,0.0316,21.9,9997.0,A,low,1.135,999666000000.0
002475,立讯精密,55.93,56.05,59.5,2026-09-07,-0.0021,0.0025,59.1,4328.0,A,mid,2.501,432779000000.0
601857,中国石油,11.02,11.0,11.63,2026-09-07,0.0021,0.0157,14.6,20169.0,A,mid,0.279,2016891000000.0
688519,南亚新材,287.85,287.21,323.99,2026-09-07,0.0022,-0.0501,17.1,677.0,A,high,24.986,67697000000.0
600105,永鼎股份,38.99,39.08,43.36,2026-09-07,-0.0023,0.035,39.1,570.0,A,high,2.534,57003000000.0
601166,兴业银行,18.05,18.09,18.42,2026-09-07,-0.0024,-0.0158,18.5,3820.0,A,low,0.343,381990000000.0
