code,name,close,ma25,resist,date,deviation,ret20,amount,mcap,status,volClass,atr,_mcapRaw
301666,大普微-UW,426.39,430.67,537.0,2026-09-03,-0.0099,-0.0292,9.7,1860.0,C,high,31.732,185998000000.0
600410,华胜天成,14.47,14.65,16.37,2026-09-03,-0.012,-0.0939,12.0,159.0,C,high,0.656,15866000000.0
002064,华峰化学,11.5,11.5,12.35,2026-09-03,-0.0001,-0.0271,7.8,571.0,A,mid,0.586,57069000000.00001
600909,华安证券,8.16,8.16,8.54,2026-09-03,-0.0005,0.0074,10.2,410.0,A,mid,0.264,40998000000.0
000533,顺钠股份,11.71,11.72,13.5,2026-09-03,-0.0008,-0.0338,7.8,81.0,A,high,0.659,8089000000.0
001389,广合科技,158.15,158.34,174.98,2026-09-03,-0.0012,-0.0163,7.5,748.0,A,high,8.593,74759000000.0
002475,立讯精密,56.17,56.09,59.5,2026-09-03,0.0015,0.0048,51.5,4346.0,A,mid,2.504,434633000000.0
000651,格力电器,38.74,38.81,39.96,2026-09-03,-0.0018,0.0112,12.5,2170.0,A,low,0.643,216998000000.0
300083,创世纪,13.31,13.34,14.88,2026-09-03,-0.0019,0.0,8.9,226.0,A,high,0.799,22634000000.0
000066,中国长城,14.52,14.49,15.57,2026-09-03,0.0022,-0.0143,10.0,468.0,A,mid,0.44,46839000000.0
603296,华勤技术,79.69,79.9,88.1,2026-09-03,-0.0026,-0.019,12.5,1208.0,A,high,3.321,120794000000.0
002081,金螳螂,4.97,4.96,6.4,2026-09-03,0.0027,0.2425,14.9,132.0,A,high,0.506,13197000000.0
002821,凯莱英,168.22,167.68,188.0,2026-09-03,0.0032,0.0742,15.5,607.0,A,high,10.261,60671000000.0
002354,天娱数科,7.77,7.74,8.97,2026-09-03,0.0035,-0.0407,23.0,129.0,A,high,0.472,12856000000.0
