code,name,status,open,high,low,close,open2,high2,low2,close2,hit_buy,touch_sl,reach_tg,ret,exit_price,note
301297,富乐德,OK,39.5,40.88,39.1,39.29,39.8,39.96,38.25,38.66,开盘买入@39.50,是,否,-1.49%,38.91,2026-09-03止损卖@38.91
300917,特发服务,OK,29.48,29.53,27.55,28.74,28.54,29.71,27.53,28.04,开盘买入@29.48,是,否,-3.19%,28.54,2026-09-03止损卖@28.54
