code,name,status,open,high,low,close,hit_buy,touch_sl,reach_tg,ret,exit_price,note,open2,high2,low2,close2
600903,贵州燃气,未触发,6.76,6.8,6.56,6.59,未触发(高开0%),-,-,-,,,,,,
002952,亚世光电,OK,21.57,21.88,21.2,21.22,开盘买入@21.57,是,否,-2.18%,21.1,2026-09-08止损卖@21.10,21.48,21.48,20.8,20.88
300859,西域旅游,OK,28.6,29.98,28.6,29.85,开盘买入@28.60,否,否,+6.12%,30.35,2026-09-08收盘卖@30.35,29.86,30.5,29.55,30.35
002181,粤 传 媒,OK,9.41,9.8,9.35,9.79,开盘买入@9.41,否,是,+9.25%,10.28,2026-09-08达标卖@10.28,9.82,10.31,9.82,10.29
