code,name,status,open,high,low,close,open2,high2,low2,close2,hit_buy,touch_sl,reach_tg,ret,exit_price,note
601958,金钼股份,OK,22.7,23.48,22.61,23.39,23.32,23.43,22.94,23.15,开盘买入@22.70,否,否,+1.98%,23.15,2026-08-28收盘卖@23.15
600531,豫光金铅,OK,13.6,14.14,13.52,13.95,13.95,14.31,13.7,14.17,开盘买入@13.60,否,否,+4.19%,14.17,2026-08-28收盘卖@14.17
601020,华钰矿业,破位回避,21.86,22.94,21.85,22.63,,,,,回避(开盘破位),-,-,-,,
000925,众合科技,OK,8.33,8.75,8.14,8.53,8.37,9.38,8.29,9.38,开盘买入@8.33,是,是,+8.16%,9.01,2026-08-28达标卖@9.01
300542,新晨科技,OK,12.84,13.36,12.84,12.96,12.96,13.28,12.66,12.69,开盘买入@12.84,否,否,-1.17%,12.69,2026-08-28收盘卖@12.69
