code,name,close,ma25,resist,date,deviation,ret20,amount,mcap,status,volClass,atr,_mcapRaw
600489,中金黄金,25.6,25.29,27.96,2026-09-04,0.0122,-0.0012,18.4,1241.0,C,mid,1.279,124091000000.00002
601211,国泰海通,17.87,17.87,18.39,2026-09-04,0.0002,-0.0022,12.2,3142.0,A,low,0.385,314174000000.0
000425,徐工机械,8.14,8.13,8.5,2026-09-04,0.0007,-0.0193,14.4,953.0,A,mid,0.206,95329000000.0
002379,宏桥控股,18.94,18.96,21.34,2026-09-04,-0.0008,-0.0415,8.7,2468.0,A,high,0.867,246809000000.0
601168,西部矿业,38.79,38.82,43.23,2026-09-04,-0.0009,-0.0994,17.5,924.0,A,high,1.889,92437000000.0
002897,意华股份,57.35,57.43,62.12,2026-09-04,-0.0015,-0.0144,8.8,111.0,A,high,3.643,11119000000.0
000977,浪潮信息,77.72,77.85,89.18,2026-09-04,-0.0016,-0.0035,137.1,1141.0,A,high,4.486,114130000000.0
300607,拓斯达,34.55,34.48,38.18,2026-09-04,0.0021,0.0341,11.1,165.0,A,high,2.886,16479000000.0
300394,天孚通信,248.7,249.35,295.0,2026-09-04,-0.0026,0.0781,98.3,2713.0,A,high,18.255,271288000000.0
300170,汉得信息,16.61,16.66,18.68,2026-09-04,-0.003,-0.0674,13.7,173.0,A,high,0.819,17281000000.0
002922,伊戈尔,25.27,25.35,29.6,2026-09-04,-0.003,-0.0292,10.8,107.0,A,mid,1.43,10679000000.0
601138,工业富联,63.69,63.89,70.97,2026-09-04,-0.0031,-0.0659,83.4,12639.0,A,high,2.519,1263870000000.0
000426,兴业银锡,38.44,38.57,42.9,2026-09-04,-0.0033,-0.0236,17.2,683.0,A,high,2.521,68254999999.99999
