code,name,status,open,high,low,close,open2,high2,low2,close2,hit_buy,touch_sl,reach_tg,ret,exit_price,note
002153,石基信息,OK,8.6,8.6,8.11,8.32,8.21,8.24,7.97,8.18,开盘买入@8.60,是,否,-4.53%,8.21,2026-08-18止损卖@8.21
601789,宁波建工,OK,4.55,4.6,4.45,4.55,4.5,4.51,4.32,4.35,开盘买入@4.55,是,否,-1.98%,4.46,2026-08-18止损卖@4.46
601101,昊华能源,OK,12.7,13.13,12.56,12.69,12.65,13.45,12.5,13.03,开盘买入@12.70,是,否,-1.34%,12.53,2026-08-18止损卖@12.53
600800,渤海化学,OK,3.44,3.73,3.35,3.52,3.59,3.61,3.4,3.43,开盘买入@3.44,是,否,-0.29%,3.43,2026-08-18止损卖@3.43
002023,海特高新,OK,10.6,10.8,10.44,10.79,10.89,10.99,10.44,10.58,开盘买入@10.60,否,否,-0.19%,10.58,2026-08-18收盘卖@10.58
