code,name,close,score,alpha20,volRatio,atrPct,flow,buyLimit,stopLoss,target,rr
600903,贵州燃气,6.75,100,0.1100153115883431,1.8069311540389639,0.04887218045112785,0.1172619178082192,6.75,6.61,7.24,3.53
002952,亚世光电,21.67,100,0.09985713140649333,2.480515216413991,0.04786076867295141,0.1281231292517007,21.67,21.1,22.76,1.93
300859,西域旅游,28.88,100,0.08095071584714586,2.0078205335971933,0.04167487684729062,0.045495412844036694,28.88,28.42,31.31,5.27
002181,粤 传 媒,9.50,95,0.08188145358031318,2.0398319680692523,0.0489774748073503,0.10344588688946016,9.50,9.30,10.28,3.94
