code,name,status,open,high,low,close,open2,high2,low2,close2,hit_buy,touch_sl,reach_tg,ret,exit_price,note
002430,杭氧股份,OK,27.42,27.83,26.86,26.89,26.98,27.3,26.61,26.66,开盘买入@27.42,否,否,-2.77%,26.66,2026-09-02收盘卖@26.66
301152,天力锂能,OK,23.0,23.95,22.41,23.35,22.75,23.23,22.5,22.8,开盘买入@23.00,否,否,-0.87%,22.8,2026-09-02收盘卖@22.80
600470,六国化工,OK,6.23,6.43,6.23,6.35,6.42,6.43,6.1,6.15,开盘买入@6.23,否,否,-1.28%,6.15,2026-09-02收盘卖@6.15
603007,顺景科技,未触发,5.08,5.2,5.08,5.12,,,,,未触发(高开0%),-,-,-,,
601020,华钰矿业,未触发,23.37,23.41,22.59,22.65,,,,,未触发(高开1%),-,-,-,,
