code,name,close,ma25,resist,date,deviation,ret20,amount,mcap,status,volClass,atr,_mcapRaw
002851,麦格米特,127.06,125.35,139.6,2026-09-09,0.0137,0.0111,29.0,743.0,C,high,9.251,74331000000.0
001696,宗申动力,16.13,15.9,17.99,2026-09-09,0.0146,-0.0671,8.1,185.0,C,high,0.741,18469000000.0
002975,博杰股份,101.0,101.0,114.0,2026-09-09,-0.0,0.0214,12.1,210.0,A,high,9.042,21021000000.0
000066,中国长城,14.55,14.55,15.57,2026-09-09,-0.0001,-0.0222,11.1,469.0,A,mid,0.416,46935000000.0
603444,吉比特,387.78,387.81,409.73,2026-09-09,-0.0001,0.0117,8.0,279.0,A,mid,10.779,27936000000.0
600246,万通发展,12.41,12.42,13.98,2026-09-09,-0.0007,-0.008,10.0,241.0,A,high,0.886,24112000000.0
300502,新易盛,414.8,415.22,472.0,2026-09-09,-0.001,-0.0313,120.2,5783.0,A,high,24.592,578338000000.0
688313,仕佳光子,147.95,147.76,167.18,2026-09-09,0.0013,0.0576,26.5,669.0,A,high,9.443,66871000000.0
600497,驰宏锌锗,10.19,10.2,10.86,2026-09-09,-0.0013,-0.0277,13.0,514.0,A,mid,0.375,51361000000.0
002081,金螳螂,5.18,5.19,6.4,2026-09-09,-0.0015,0.1854,18.6,138.0,A,high,0.474,13755000000.000002
001309,德明利,409.66,409.02,450.65,2026-09-09,0.0016,0.0051,39.5,929.0,A,high,22.314,92928000000.0
000603,盛达资源,35.3,35.24,40.27,2026-09-09,0.0018,0.0259,15.3,244.0,A,high,2.522,24356000000.0
601208,东材科技,47.17,47.07,52.89,2026-09-09,0.002,-0.0254,16.4,476.0,A,high,3.067,47650000000.0
000060,中金岭南,6.68,6.67,7.04,2026-09-09,0.0021,-0.0104,7.6,297.0,A,mid,0.217,29667000000.0
