code,name,close,ma25,resist,date,deviation,ret20,amount,mcap,status,volClass,atr,_mcapRaw
001258,立新能源,13.3,13.33,16.88,2026-08-28,-0.002,0.0778,16.1,124.0,C,high,1.378,12413000000.0
000651,格力电器,39.0,38.92,40.25,2026-08-28,0.0021,-0.0315,19.2,2185.0,C,low,0.611,218455000000.00003
002821,凯莱英,164.94,166.32,188.0,2026-08-28,-0.0083,0.0805,13.7,595.0,C,high,10.676,59488000000.0
000811,冰轮环境,40.1,40.11,45.99,2026-08-28,-0.0003,0.136,18.9,398.0,A,high,3.189,39798000000.0
603650,彤程新材,62.36,62.38,72.96,2026-08-28,-0.0004,0.1508,8.5,384.0,A,high,3.196,38418000000.0
300209,行云科技,33.53,33.56,41.0,2026-08-28,-0.0008,0.2018,22.2,311.0,A,high,3.004,31137000000.0
603678,火炬电子,47.12,47.08,54.8,2026-08-28,0.0008,0.16,8.3,224.0,A,high,3.162,22409000000.0
000100,TCL科技,4.96,4.96,5.34,2026-08-28,0.0009,0.0486,18.2,1032.0,A,mid,0.149,103172000000.0
002600,领益智造,12.47,12.48,13.09,2026-08-28,-0.0009,0.0056,14.0,1013.0,A,mid,0.386,101260000000.0
000636,风华高科,55.45,55.51,67.87,2026-08-28,-0.0011,0.1236,90.9,636.0,A,high,4.027,63628000000.0
300124,汇川技术,62.05,61.98,65.5,2026-08-28,0.0012,-0.0314,9.0,1680.0,A,mid,1.626,168007000000.0
301319,唯特偶,104.19,104.34,138.87,2026-08-28,-0.0015,0.2084,9.4,190.0,A,high,9.981,19011000000.0
603986,兆易创新,396.82,397.51,455.81,2026-08-28,-0.0017,0.0481,142.1,2785.0,A,high,22.409,278466000000.0
601336,新华保险,59.8,59.7,61.25,2026-08-28,0.0017,-0.0206,11.5,1865.0,A,low,1.149,186549000000.0
002475,立讯精密,56.6,56.72,59.5,2026-08-28,-0.0022,-0.0153,62.4,4380.0,A,mid,2.539,437960999999.99994
